"","IDNumber","FirstName","Suname","Age","DoB","Height(m)","Weight(kg)","EducationLevel","Salary","CriminalRecord"
"60","60AF","Aurelio"," Fitzpatrick",79.5,1939-05-08,2,232,"secondary",18506,"have a criminal record"
"61","61KO","Kris"," O’Leary",68.8,1950-01-26,2,251,"secondary",15716,"have a criminal record"
"62","62CM","Claud"," McDonnell",86.6,1932-03-18,1.7,110,"Primary",27237.3,"have a criminal record"
"63","63MM","Monroe"," MacMahon",58.6,1960-03-25,2,97,"FALSE",18530,"have a criminal record"
"64","64HD","Humberto"," Donnelly",0.7,2018-01-26,1.8,82,"Primary",13825,"has no criminal record"
"65","65DR","Darell"," Regan",32.4,1986-06-03,2,108,"masters",14503.7,"has no criminal record"
"66","66BD","Brent"," Donovan",46.5,1972-04-07,1.9,162,"Primary",8311,"has no criminal record"
"67","67DB","Donte"," Burns",76,1942-10-28,1.5,80,"masters",6983.3,"has no criminal record"
"68","68JF","Jessie"," Flanagan",15.3,2003-06-26,1.5,106,"doctorate",19842.7,"have a criminal record"
"69","69HM","Hung"," Mullan",36.9,1981-11-14,2.1,142,"FALSE",9639,"has no criminal record"
"70","70EB","Eric"," Barry",2.7,2016-01-27,2.2,115,"doctorate",12581.7,"has no criminal record"
"71","71FK","Francesco"," Kane",6.3,2012-07-07,2,153,"FALSE",22631.3,"have a criminal record"
"72","72MR","Moshe"," Robinson",73.8,1945-01-19,2.1,260,"graduate",13852.7,"has no criminal record"
"73","73MC","Mac"," Cunningham",70.7,1948-02-25,1.5,113,"doctorate",14185.3,"has no criminal record"
"74","74MG","Marlin"," Griffin",18,2000-10-31,2.1,243,"secondary",12687,"has no criminal record"
"75","75RK","Rex"," Kenny",87.5,1931-05-10,1.8,63,"FALSE",12466.3,"has no criminal record"
"76","76HS","Harvey"," Sheehan",67.1,1951-09-19,1.9,91,"secondary",22824,"have a criminal record"
"77","77HW","Harry"," Ward",84.2,1934-09-05,2.1,222,"Primary",16828,"have a criminal record"
"78","78RW","Russell"," Whelan",15.6,2003-02-22,2.2,175,"FALSE",27688.7,"have a criminal record"
"79","79NL","Norbert"," Lyons",20.2,1998-08-16,1.8,187,"graduate",7010.7,"has no criminal record"
"80","80BR","Burl"," Reid",12.4,2006-05-26,2.1,66,"secondary",13751,"has no criminal record"
"81","81KH","Kenny","Higgins",60.9,1957-12-04,2.1,196,"secondary",26091.3,"have a criminal record"
"82","82KG","Kory"," Graham",78.2,1940-08-20,2,84,"masters",6827,"has no criminal record"
"83","83EH","Esteban"," Higgins",90.4,1928-06-03,2,233,"Primary",15808.7,"have a criminal record"
"84","84JC","Jeff"," Cullen",89.5,1929-05-01,2.2,100,"FALSE",23734,"have a criminal record"
"85","85MK","Mohammad"," Keane",78.8,1940-01-20,1.9,247,"FALSE",13951,"has no criminal record"
"86","86HK","Homer"," King",36,1982-10-25,2.2,112,"FALSE",7325.3,"has no criminal record"
"87","87GM","Gilbert"," Maher",65.1,1953-09-17,2.1,236,"secondary",8269.3,"has no criminal record"
"88","88WM","Werner"," MacKenna",19.7,1999-01-27,1.8,114,"graduate",9053,"has no criminal record"
"89","89CB","Clemente"," Bell",48.9,1969-11-24,2.2,104,"Primary",18285.3,"have a criminal record"
"90","90ES","Efrain"," Scott",19.8,1998-12-21,1.6,180,"masters",7032,"has no criminal record"
"91","91MH","Marco"," Hogan",19.6,1999-03-30,1.8,71,"masters",8661.3,"has no criminal record"
"92","92GO","Guadalupe"," O’Keeffe",70.4,1948-06-09,1.5,78,"FALSE",13880.7,"has no criminal record"
"93","93AM","Alden"," Magee",75.3,1943-07-03,2.2,183,"doctorate",25422.7,"have a criminal record"
"94","94IM","Israel"," MacNamara",2.1,2016-09-20,1.7,149,"secondary",10632,"has no criminal record"
"95","95MM","Morgan"," MacDonald",26.5,1992-04-08,1.5,118,"Primary",9712.3,"has no criminal record"
"96","96FM","Foster"," MacDermott",5.8,2012-12-27,1.6,69,"masters",8008,"has no criminal record"
"97","97DM","Dominic"," Molony",90.8,1928-01-27,1.5,142,"doctorate",27805.3,"have a criminal record"
"98","98JO","Jeromy"," O’Rourke",5.6,2013-03-25,2,165,"FALSE",11533.3,"has no criminal record"
"99","99DB","Darrin"," Buckley",51.3,1967-07-13,1.8,119,"graduate",24270,"have a criminal record"
"100","100MO","Melvin"," O’Dwyer",81.2,1937-08-25,2.1,58,"FALSE",10296,"has no criminal record"
"101","101LB","Lucien","Berger ",3,2015-10-12,1.9,252,"doctorate",15051.3,"have a criminal record"
"102","102CM","Cornell"," MacMahon",29.2,1989-08-18,2,211,"graduate",11574.7,"has no criminal record"
"103","103DD","Dillon"," Donnelly",57.6,1961-04-02,2.1,154,"secondary",11732.3,"has no criminal record"
"104","104RR","Rickey"," Regan",81.6,1937-03-16,2.2,165,"doctorate",21402.7,"have a criminal record"
"105","105ED","Ervin"," Donovan",6.1,2012-09-19,2.1,135,"FALSE",19650,"have a criminal record"
"106","106CB","Chet"," Burns",46,1972-10-22,1.8,211,"doctorate",15716,"have a criminal record"
"107","107HF","Herbert"," Flanagan",56.4,1962-05-19,1.6,155,"secondary",27835.3,"have a criminal record"
"108","108PM","Pasquale"," Mullan",43.5,1975-05-01,2.1,120,"Primary",21351.3,"have a criminal record"
"109","109TB","Theron"," Barry",44,1974-11-10,1.7,227,"FALSE",18292.7,"have a criminal record"
"110","110GK","Gregory"," Kane",66.1,1952-09-11,2.2,214,"secondary",7386.7,"has no criminal record"
"111","111JR","Johnson"," Robinson",9.4,2009-05-04,2.2,126,"Primary",27624,"have a criminal record"
"112","112MC","Mauricio"," Cunningham",77.7,1941-03-04,2.2,157,"Primary",6778,"has no criminal record"
"113","113BG","Bradly"," Griffin",50.8,1968-01-05,1.9,211,"Primary",10009.7,"has no criminal record"
"114","114RK","Rudy"," Kenny",53.6,1965-03-29,1.8,142,"FALSE",7005.7,"has no criminal record"
"115","115NS","Nathan"," Sheehan",51.9,1966-12-10,1.9,71,"FALSE",12588.7,"has no criminal record"
"116","116RW","Rodney"," Ward",66,1952-10-15,2.2,158,"FALSE",14635.3,"have a criminal record"
"117","117AW","Antwan"," Whelan",11.4,2007-05-09,1.8,96,"secondary",15230,"have a criminal record"
"118","118RL","Rolland"," Lyons",3.8,2014-12-19,2.1,242,"secondary",24745.3,"have a criminal record"
"119","119BR","Buck"," Reid",35.6,1983-04-03,1.7,166,"doctorate",24871.3,"have a criminal record"
"120","120GB","Gale","Berger ",1.7,2017-01-22,1.9,72,"doctorate",6961.7,"has no criminal record"
"121","121LB","Lesley"," Brown",73.7,1945-02-24,1.9,74,"secondary",29904.7,"have a criminal record"
"122","122TM","Trenton"," Martin",74.8,1944-01-11,2,176,"masters",29785.3,"have a criminal record"
"123","123PM","Percy"," Maguire",70.7,1948-02-02,2.2,113,"Primary",20539.3,"have a criminal record"
"124","124JN","Josiah"," Nolan",91.3,1927-07-17,1.7,62,"graduate",11564.7,"has no criminal record"
"125","125WF","Waylon"," Flynn",7.3,2011-06-11,2,255,"graduate",8929.3,"has no criminal record"
"126","126DT","Darren"," Thompson",3.7,2015-02-15,2.2,201,"masters",15860,"have a criminal record"
"127","127YO","Yong"," O’Callaghan",53.5,1965-05-06,1.9,130,"doctorate",9983.3,"has no criminal record"
"128","128BO","Berry"," O’Donnell",45.3,1973-06-29,2.1,85,"masters",29496.7,"have a criminal record"
"129","129GD","Gerard"," Duffy",67.1,1951-09-24,1.5,202,"graduate",8414.7,"has no criminal record"
"130","130IO","Issac"," O’Mahony",72,1946-10-21,1.6,90,"doctorate",9025.7,"has no criminal record"
"131","131CB","Carter"," Boyle",49.8,1969-01-22,2.1,191,"secondary",11080,"has no criminal record"
"132","132NB","Norman"," Brown",10.6,2008-03-24,2.1,161,"doctorate",22196,"have a criminal record"
"133","133MM","Matthew"," Martin",59.6,1959-03-11,1.9,173,"graduate",12135.3,"has no criminal record"
"134","134SM","Shirley"," Maguire",67.7,1951-02-19,1.7,166,"graduate",14441.3,"have a criminal record"
"135","135DN","Donny"," Nolan",77.2,1941-08-19,1.5,191,"masters",26330,"have a criminal record"
"136","136BF","Bryant"," Flynn",42.6,1976-03-17,1.5,140,"graduate",17378,"have a criminal record"
"137","137JT","Jarred"," Thompson",69.1,1949-09-06,1.6,103,"masters",26819.3,"have a criminal record"
"138","138SO","Stan"," O’Callaghan",2.6,2016-02-23,1.7,219,"secondary",21782,"have a criminal record"
"139","139DO","Daron"," O’Donnell",49.9,1968-12-15,1.5,250,"graduate",14336.7,"has no criminal record"
"140","140AD","Amado"," Duffy",23.1,1995-08-28,1.5,229,"FALSE",14555.3,"have a criminal record"
"141","141KO","Kent"," O’Mahony",42.2,1976-08-21,1.5,113,"masters",6948.3,"has no criminal record"
"142","142WB","Wayne"," Boyle",78.5,1940-04-26,1.9,99,"graduate",19652.7,"have a criminal record"
"143","143AB","Abdul"," Brown",46.2,1972-08-13,1.5,81,"Primary",19368.7,"have a criminal record"
"144","144MM","Miguel"," Martin",40.4,1978-06-12,2.2,248,"FALSE",14440,"has no criminal record"
"145","145HM","Henry"," Maguire",30.2,1988-08-01,2.1,131,"FALSE",27994.7,"have a criminal record"
"146","146PN","Porfirio"," Nolan",21.6,1997-03-25,1.8,218,"Primary",9465.3,"has no criminal record"
"147","147AF","August"," Flynn",8.8,2010-01-11,2,126,"FALSE",16336,"have a criminal record"
"148","148ET","Eddie"," Thompson",71,1947-11-01,1.5,85,"graduate",13199.7,"has no criminal record"
"149","149OO","Oliver"," O’Callaghan",48.5,1970-04-23,2.1,202,"FALSE",27248,"have a criminal record"
"150","150DO","Dylan"," O’Donnell",88.9,1929-12-15,2,111,"masters",24878,"have a criminal record"
"151","151LD","Leeanna"," Duffy",2.7,2016-02-14,1.6,182,"masters",11337.7,"has no criminal record"
"152","152LO","Loralee"," O’Mahony",73,1945-11-13,1.6,121,"masters",9228.3,"has no criminal record"
"153","153SB","Sharice"," Boyle",32.1,1986-09-03,1.9,66,"doctorate",14559.7,"has no criminal record"
"154","154TB","Tonie"," Brown",84.7,1934-02-25,1.8,153,"Primary",12241,"has no criminal record"
"155","155BM","Brittaney"," Martin",24.9,1993-12-09,2,143,"FALSE",25598,"have a criminal record"
"156","156LM","Louvenia"," Maguire",17.7,2001-02-19,1.8,83,"doctorate",22662.7,"have a criminal record"
"157","157DN","Dulcie"," Nolan",71.7,1947-01-31,2.1,236,"FALSE",7741,"has no criminal record"
"158","158SF","Shelley"," Flynn",21.4,1997-05-28,1.8,116,"Primary",26941.3,"have a criminal record"
"159","159JT","Jaunita"," Thompson",63.4,1955-06-01,1.6,62,"doctorate",11904,"has no criminal record"
"160","160FO","Fallon"," O’Callaghan",72.7,1946-02-11,1.6,136,"secondary",11793.7,"has no criminal record"
